Task,Model,e1,e2,e5,none,std1,std2,std3,stdi
SA,"Tr, none, LSTM",0.77,0.78,0.79,0.91,0.00,0.02,0.02,0.00
SA,"Tr, none",0.66,0.67,0.69,0.73,0.02,0.02,0.03,0.02
SA,"Tr, last two",0.74,0.81,0.84,0.63,0.03,0.02,0.02,0.22
SA,"Tr, all",0.46,0.46,0.48,0.92,0.00,0.00,0.03,0.00
NLI,"Tr, none, LSTM",0.62,0.63,0.64,0.86,0.01,0.01,0.01,0.00
NLI,"Tr, none",0.53,0.55,0.55,0.61,0.02,0.00,0.01,0.01
NLI,"Tr, last two",0.35,0.34,0.34,0.89,0.00,0.01,0.00,0.00
NLI,"Tr, all*",0.77,0.8,0.8,0.9,0.00,0.00,0.00,0.00
"NER, CoNLL-2003","Tr, none, LSTM",0.13,0.14,0.14,0.16,0.00,0.00,0.00,0.00
"NER, CoNLL-2003","Tr, none",0.29,0.37,0.28,0.32,0.01,0.00,0.00,0.00
"NER, CoNLL-2003","Tr, last two",0.31,0.32,0.32,0.35,0.00,0.00,0.00,0.00
"NER, CoNLL-2003","Tr, all",0.33,0.34,0.35,0.35,0.01,0.01,0.00,0.00
"NER, Wikiann","Tr, none, LSTM",0.48,0.49,0.52,0.63,0.00,0.01,0.01,0.00
"NER, Wikiann","Tr, none",0.75,0.77,0.76,0.81,0.00,0.00,0.00,0.00
"NER, Wikiann","Tr, last two",0.66,0.69,0.72,0.88,0.00,0.00,0.01,0.00
"NER, Wikiann","Tr, all",0.51,0.60,0.66,0.96,0.01,0.02,0.01,0.00
"POS-Tagging, GUM","Tr, none, LSTM",0.18,0.31,0.45,0.89,0.00,0.01,0.01,0.00
"POS-Tagging, GUM","Tr, none",0.62,0.68,0.73,0.83,0.00,0.01,0.01,0.00
"POS-Tagging, GUM","Tr, last two",0.42,0.56,0.64,0.93,0.01,0.01,0.02,0.00
"POS-Tagging, GUM","Tr, all",0.35,0.56,0.66,0.95,0.02,0.04,0.03,0.00
"POS-Tagging, EWT","Tr, none, LSTM",0.40,0.53,0.62,0.90,0.00,0.01,0.01,0.00
"POS-Tagging, EWT","Tr, none",0.69,0.71,0.75,0.82,0.00,0.01,0.00,0.00
"POS-Tagging, EWT","Tr, last two",0.62,0.65,0.70,0.94,0.01,0.01,0.00,0.00
"POS-Tagging, EWT","Tr, all",0.45,0.58,0.67,0.96,0.06,0.02,0.02,0.00
QA,"Tr, none, LSTM",0.50,0.50,0.50,0.61,0.02,0.00,0.01,0.44
QA,"Tr, none",0.50,0.50,0.50,0.50,0.02,0.00,0.02,0.38
QA,"Tr, last two",0.50,0.50,0.50,0.64,0.05,0.05,0.05,0.52
QA,"Tr, all*",0.50,0.50,0.50,0.73,0.00,0.00,0.00,0.53